0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:19 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:19 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:28 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:28 +0200] "GET /Oblig2_oppg1/Innlogging?feil=%27ja%27 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:32 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:32 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:36 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:37 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:16:39 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:18:27 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:18:27 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:00 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:00 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:02 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:02 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:05 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:05 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:18 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:18 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1361
